,name,Name_Matched
149,Reza Samavi,Q59452897
156,Antonis Troumpoukis,Q103269107
2,Yannis Ioannidis,Q105531064
12,Paul Buitelaar,Q40878013
18,Julia Bosque-Gil,Q57762365
40,Michael Martin,Q118773957
41,Anthony G. Cohn,Q53843633
42,Roberto García,Q57453884
47,Filippo Gramegna,Q98904415
50,Frank T. Den Hartog,Q79849656
51,Heshan Du,Q60024038
52,Pierre Genevès,Q13399681
53,Spyros Kotoulas,Q57235713
62,Jose Luis Ambite,Q56944089
63,Rosa María Gil-Iranzo,Q104742937
64,Ralf Möller,Q64360368
66,Nicolas Matentzoglu,Q60972192
67,Michele Ruta,Q57511506
71,Lara S. G. Piccolo,Q62066666
73,Bernardo Cuenca Grau,Q117232529
74,Joanna Biegańska,Q86577206
77,Nabil Layaïda,Q102109863
93,Gully A.P.C. Burns,Q35876688
98,Julian Dolby,Q102412853
109,Amit Krishna Joshi,Q102676457
112,Martin Ringsquandl,Q117232530
113,Stephan Grimm,Q64729147
115,Yannis Kotidis,Q117232533
116,Theofilos Mailis,Q117232534
119,Christoforos Svingos,Q117232532
